MAT	<p>e57d_e5dc</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006a79;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #843995;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm
MAT	<p>e57d_5618</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells	<span style="color: #843995;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #006a79;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #9c3a1f;">multipotent</span>	they are found in most body organs, where they replace diseased or aged cells
MAT	<p>e57d_87d9</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #226c52;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #9c3a1f;">multipotent</span>	they are found in most body organs, where they replace diseased or aged cells	<span style="color: #843995;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils
MAT	<p>e57d_743a</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells	<span style="color: #9c3a1f;">multipotent</span>	derived from the mesoderm, they are widely found throughout the body and can be easily isolated and cultured	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #843995;">unipotent</span>	capable of developing into only one type of cell or tissue; e.g., germ line stem cell
MAT	<p>e57d_a2a0</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #843995;">unipotent</span>	capable of developing into only one type of cell or tissue; e.g., germ line stem cell
MAT	<p>e57d_2779</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #843995;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells	<span style="color: #006a79;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization
MAT	<p>e57d_24af</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells	<span style="color: #006a79;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #9c3a1f;">multipotent</span>	derived from the mesoderm, they are widely found throughout the body and can be easily isolated and cultured	<span style="color: #843995;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells
MAT	<p>e57d_d1a0</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #843995;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils
MAT	<p>e57d_079c</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #843995;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells	<span style="color: #9c3a1f;">multipotent</span>	derived from the mesoderm, they are widely found throughout the body and can be easily isolated and cultured	<span style="color: #006a79;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells
MAT	<p>e57d_d2f5</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9c3a1f;">multipotent</span>	have the ability to turn into a number of different cells in the body; e.g., bone, muscle, cartilage, or fat cells	<span style="color: #006a79;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #843995;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm
MAT	<p>e57d_0409</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9c3a1f;">multipotent</span>	they are found in most body organs, where they replace diseased or aged cells	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells	<span style="color: #226c52;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #843995;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #006a79;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells
MAT	<p>e57d_75ed</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9c3a1f;">multipotent</span>	have the ability to turn into a number of different cells in the body; e.g., bone, muscle, cartilage, or fat cells	<span style="color: #006a79;">totipotent</span>	can give rise to any of the 220 cell types found in an embryo as well as extra-embryonic cells (placenta)	<span style="color: #843995;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells
MAT	<p>e57d_f4ea</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #843995;">unipotent</span>	the capacity to develop into only one type of cell or tissue; e.g., epidermal stem cells	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells	<span style="color: #9c3a1f;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast
MAT	<p>e57d_8d65</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #006a79;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization	<span style="color: #9c3a1f;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #843995;">unipotent</span>	capable of developing into only one type of cell or tissue; e.g., germ line stem cell	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells
MAT	<p>e57d_3dfc</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #843995;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #9c3a1f;">multipotent</span>	have the ability to turn into a number of different cells in the body; e.g., bone, muscle, cartilage, or fat cells	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #006a79;">totipotent</span>	can give rise to any of the 220 cell types found in an embryo as well as extra-embryonic cells (placenta)	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells
MAT	<p>e57d_beac</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells	<span style="color: #226c52;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #006a79;">totipotent</span>	can give rise to any of the 220 cell types found in an embryo as well as extra-embryonic cells (placenta)	<span style="color: #9c3a1f;">multipotent</span>	they are found in most body organs, where they replace diseased or aged cells	<span style="color: #843995;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm
MAT	<p>e57d_4aae</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #006a79;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells	<span style="color: #843995;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #9c3a1f;">multipotent</span>	they are found in most body organs, where they replace diseased or aged cells
MAT	<p>e57d_748d</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #9c3a1f;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #843995;">unipotent</span>	capable of developing into only one type of cell or tissue; e.g., germ line stem cell	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells
MAT	<p>e57d_bbb9</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #006a79;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells	<span style="color: #843995;">unipotent</span>	the capacity to develop into only one type of cell or tissue; e.g., epidermal stem cells	<span style="color: #9c3a1f;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ
MAT	<p>e57d_870e</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006a79;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization	<span style="color: #843995;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #9c3a1f;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells
MAT	<p>e57d_9076</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #843995;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells	<span style="color: #006a79;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells	<span style="color: #9c3a1f;">multipotent</span>	they are found in most body organs, where they replace diseased or aged cells	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells
MAT	<p>e57d_8633</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #843995;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm	<span style="color: #006a79;">totipotent</span>	can give rise to any of the 220 cell types found in an embryo as well as extra-embryonic cells (placenta)	<span style="color: #9c3a1f;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #226c52;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells
MAT	<p>e57d_80e3</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #9c3a1f;">multipotent</span>	derived from the mesoderm, they are widely found throughout the body and can be easily isolated and cultured	<span style="color: #843995;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells	<span style="color: #226c52;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body
MAT	<p>e57d_cccd</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #6b5e03;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #843995;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells	<span style="color: #006a79;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells
MAT	<p>e57d_2d82</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #226c52;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #843995;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells
MAT	<p>e57d_b872</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells	<span style="color: #006a79;">totipotent</span>	can give rise to any of the 220 cell types found in an embryo as well as extra-embryonic cells (placenta)	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #843995;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm
MAT	<p>e57d_a166</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006a79;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #226c52;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #843995;">unipotent</span>	the capacity to develop into only one type of cell or tissue; e.g., epidermal stem cells	<span style="color: #6b5e03;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells
MAT	<p>e57d_982f</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9c3a1f;">multipotent</span>	derived from the mesoderm, they are widely found throughout the body and can be easily isolated and cultured	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells	<span style="color: #843995;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells	<span style="color: #006a79;">totipotent</span>	can give rise to any of the 220 cell types found in an embryo as well as extra-embryonic cells (placenta)	<span style="color: #226c52;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body
MAT	<p>e57d_b552</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #843995;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #006a79;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization	<span style="color: #9c3a1f;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells
MAT	<p>e57d_6c9b</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #9c3a1f;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #226c52;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #006a79;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #843995;">unipotent</span>	capable of developing into only one type of cell or tissue; e.g., germ line stem cell	<span style="color: #6b5e03;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells
